participant_id,participant_gender,trait,rater,rater_gender,rank
5569,m,conflict,rater_1,male,33
5500,m,control,rater_1,male,1
5499,m,control,rater_1,male,2
5615,m,control,rater_1,male,3
5626,m,control,rater_1,male,4
5536,m,control,rater_1,male,5
5597,m,control,rater_1,male,6
5376,m,control,rater_1,male,7
5613,m,control,rater_1,male,8
5238,m,control,rater_1,male,9
5250,m,control,rater_1,male,10
5281,m,control,rater_1,male,11
5370,m,control,rater_1,male,12
5269,m,control,rater_1,male,13
5267,m,control,rater_1,male,14
5403,m,control,rater_1,male,15
5371,m,control,rater_1,male,16
5614,m,control,rater_1,male,17
5604,m,control,rater_1,male,18
5407,m,control,rater_1,male,19
5372,m,control,rater_1,male,20
5569,m,control,rater_1,male,21
5638,m,control,rater_1,male,22
5618,m,control,rater_1,male,23
5578,m,control,rater_1,male,24
5408,m,control,rater_1,male,25
5641,m,control,rater_1,male,26
5605,m,control,rater_1,male,27
5637,m,control,rater_1,male,28
5251,m,control,rater_1,male,29
5617,m,control,rater_1,male,30
5405,m,control,rater_1,male,31
5616,m,control,rater_1,male,32
5632,m,control,rater_1,male,33
5499,m,decisions,rater_1,male,1
5500,m,decisions,rater_1,male,2
5615,m,decisions,rater_1,male,3
5536,m,decisions,rater_1,male,4
5403,m,decisions,rater_1,male,5
5376,m,decisions,rater_1,male,6
5604,m,decisions,rater_1,male,7
5372,m,decisions,rater_1,male,8
5618,m,decisions,rater_1,male,9
5626,m,decisions,rater_1,male,10
5613,m,decisions,rater_1,male,11
5371,m,decisions,rater_1,male,12
5370,m,decisions,rater_1,male,13
5281,m,decisions,rater_1,male,14
5269,m,decisions,rater_1,male,15
5250,m,decisions,rater_1,male,16
5238,m,decisions,rater_1,male,17
5597,m,decisions,rater_1,male,18
5614,m,decisions,rater_1,male,19
5569,m,decisions,rater_1,male,20
5407,m,decisions,rater_1,male,21
5617,m,decisions,rater_1,male,22
5616,m,decisions,rater_1,male,23
5405,m,decisions,rater_1,male,24
5632,m,decisions,rater_1,male,25
5637,m,decisions,rater_1,male,26
5638,m,decisions,rater_1,male,27
5251,m,decisions,rater_1,male,28
5641,m,decisions,rater_1,male,29
5578,m,decisions,rater_1,male,30
5605,m,decisions,rater_1,male,31
5408,m,decisions,rater_1,male,32
5267,m,decisions,rater_1,male,33
5626,m,expertise,rater_1,male,1
5615,m,expertise,rater_1,male,2
5613,m,expertise,rater_1,male,3
5536,m,expertise,rater_1,male,4
5371,m,expertise,rater_1,male,5
5597,m,expertise,rater_1,male,6
5376,m,expertise,rater_1,male,7
5499,m,expertise,rater_1,male,8
5500,m,expertise,rater_1,male,9
5403,m,expertise,rater_1,male,10
5238,m,expertise,rater_1,male,11
5370,m,expertise,rater_1,male,12
5281,m,expertise,rater_1,male,13
5250,m,expertise,rater_1,male,14
5407,m,expertise,rater_1,male,15
5614,m,expertise,rater_1,male,16
5372,m,expertise,rater_1,male,17
5632,m,expertise,rater_1,male,18
5638,m,expertise,rater_1,male,19
5269,m,expertise,rater_1,male,20
5569,m,expertise,rater_1,male,21
5578,m,expertise,rater_1,male,22
5617,m,expertise,rater_1,male,23
5618,m,expertise,rater_1,male,24
5637,m,expertise,rater_1,male,25
5605,m,expertise,rater_1,male,26
5267,m,expertise,rater_1,male,27
5408,m,expertise,rater_1,male,28
5251,m,expertise,rater_1,male,29
5616,m,expertise,rater_1,male,30
5405,m,expertise,rater_1,male,31
5604,m,expertise,rater_1,male,32
5641,m,expertise,rater_1,male,33
5626,m,farming,rater_1,male,1
5615,m,farming,rater_1,male,2
5371,m,farming,rater_1,male,3
5251,m,farming,rater_1,male,4
5536,m,farming,rater_1,male,5
5499,m,farming,rater_1,male,6
5500,m,farming,rater_1,male,7
5618,m,farming,rater_1,male,8
5597,m,farming,rater_1,male,9
5613,m,farming,rater_1,male,10
5408,m,farming,rater_1,male,11
5407,m,farming,rater_1,male,12
5578,m,farming,rater_1,male,13
5617,m,farming,rater_1,male,14
5616,m,farming,rater_1,male,15
5604,m,farming,rater_1,male,16
5614,m,farming,rater_1,male,17
5638,m,farming,rater_1,male,18
5403,m,farming,rater_1,male,19
5405,m,farming,rater_1,male,20
5376,m,farming,rater_1,male,21
5372,m,farming,rater_1,male,22
5238,m,farming,rater_1,male,23
5250,m,farming,rater_1,male,24
5269,m,farming,rater_1,male,25
5370,m,farming,rater_1,male,26
5641,m,farming,rater_1,male,27
5267,m,farming,rater_1,male,28
5632,m,farming,rater_1,male,29
5569,m,farming,rater_1,male,30
5281,m,farming,rater_1,male,31
5637,m,farming,rater_1,male,32
5605,m,farming,rater_1,male,33
5626,m,feared,rater_1,male,1
5578,m,feared,rater_1,male,2
5569,m,feared,rater_1,male,3
5615,m,feared,rater_1,male,4
5499,m,feared,rater_1,male,5
5500,m,feared,rater_1,male,6
5618,m,feared,rater_1,male,7
5536,m,feared,rater_1,male,8
5617,m,feared,rater_1,male,9
5637,m,feared,rater_1,male,10
5613,m,feared,rater_1,male,11
5638,m,feared,rater_1,male,12
5605,m,feared,rater_1,male,13
5604,m,feared,rater_1,male,14
5597,m,feared,rater_1,male,15
5614,m,feared,rater_1,male,16
5370,m,feared,rater_1,male,17
5269,m,feared,rater_1,male,18
5267,m,feared,rater_1,male,19
5251,m,feared,rater_1,male,20
5250,m,feared,rater_1,male,21
5238,m,feared,rater_1,male,22
5372,m,feared,rater_1,male,23
5376,m,feared,rater_1,male,24
5616,m,feared,rater_1,male,25
5403,m,feared,rater_1,male,26
5405,m,feared,rater_1,male,27
5407,m,feared,rater_1,male,28
5408,m,feared,rater_1,male,29
5371,m,feared,rater_1,male,30
5632,m,feared,rater_1,male,31
5281,m,feared,rater_1,male,32
5641,m,feared,rater_1,male,33
5405,m,fighting,rater_1,male,1
5251,m,fighting,rater_1,male,2
5578,m,fighting,rater_1,male,3
5616,m,fighting,rater_1,male,4
5408,m,fighting,rater_1,male,5
5614,m,fighting,rater_1,male,6
5618,m,fighting,rater_1,male,7
5638,m,fighting,rater_1,male,8
5637,m,fighting,rater_1,male,9
5632,m,fighting,rater_1,male,10
5372,m,fighting,rater_1,male,11
5626,m,fighting,rater_1,male,12
5371,m,fighting,rater_1,male,13
5269,m,fighting,rater_1,male,14
5267,m,fighting,rater_1,male,15
5250,m,fighting,rater_1,male,16
5604,m,fighting,rater_1,male,17
5617,m,fighting,rater_1,male,18
5569,m,fighting,rater_1,male,19
5403,m,fighting,rater_1,male,20
5238,m,fighting,rater_1,male,21
5613,m,fighting,rater_1,male,22
5597,m,fighting,rater_1,male,23
5536,m,fighting,rater_1,male,24
5500,m,fighting,rater_1,male,25
5499,m,fighting,rater_1,male,26
5376,m,fighting,rater_1,male,27
5370,m,fighting,rater_1,male,28
5281,m,fighting,rater_1,male,29
5407,m,fighting,rater_1,male,30
5615,m,fighting,rater_1,male,31
5605,m,fighting,rater_1,male,32
5641,m,fighting,rater_1,male,33
5615,m,honey,rater_1,male,1
5371,m,honey,rater_1,male,2
5626,m,honey,rater_1,male,3
5408,m,honey,rater_1,male,4
5536,m,honey,rater_1,male,5
5499,m,honey,rater_1,male,6
5613,m,honey,rater_1,male,7
5617,m,honey,rater_1,male,8
5376,m,honey,rater_1,male,9
5614,m,honey,rater_1,male,10
5281,m,honey,rater_1,male,11
5251,m,honey,rater_1,male,12
5616,m,honey,rater_1,male,13
5578,m,honey,rater_1,male,14
5500,m,honey,rater_1,male,15
5604,m,honey,rater_1,male,16
5250,m,honey,rater_1,male,17
5267,m,honey,rater_1,male,18
5269,m,honey,rater_1,male,19
5370,m,honey,rater_1,male,20
5407,m,honey,rater_1,male,21
5597,m,honey,rater_1,male,22
5638,m,honey,rater_1,male,23
5569,m,honey,rater_1,male,24
5618,m,honey,rater_1,male,25
5372,m,honey,rater_1,male,26
5403,m,honey,rater_1,male,27
5405,m,honey,rater_1,male,28
5641,m,honey,rater_1,male,29
5632,m,honey,rater_1,male,30
5637,m,honey,rater_1,male,30
5605,m,honey,rater_1,male,30
5238,m,honey,rater_1,male,30
5578,m,hunting,rater_1,male,1
5371,m,hunting,rater_1,male,2
5405,m,hunting,rater_1,male,3
5536,m,hunting,rater_1,male,4
5626,m,hunting,rater_1,male,5
5614,m,hunting,rater_1,male,6
5617,m,hunting,rater_1,male,7
5616,m,hunting,rater_1,male,8
5615,m,hunting,rater_1,male,9
5597,m,hunting,rater_1,male,10
5403,m,hunting,rater_1,male,11
5407,m,hunting,rater_1,male,12
5408,m,hunting,rater_1,male,13
5499,m,hunting,rater_1,male,14
5500,m,hunting,rater_1,male,15
5372,m,hunting,rater_1,male,16
5376,m,hunting,rater_1,male,17
5250,m,hunting,rater_1,male,18
5251,m,hunting,rater_1,male,19
5267,m,hunting,rater_1,male,20
5269,m,hunting,rater_1,male,21
5281,m,hunting,rater_1,male,22
5604,m,hunting,rater_1,male,23
5370,m,hunting,rater_1,male,24
5641,m,hunting,rater_1,male,25
5613,m,hunting,rater_1,male,26
5618,m,hunting,rater_1,male,27
5238,m,hunting,rater_1,male,28
5569,m,hunting,rater_1,male,28
5605,m,hunting,rater_1,male,28
5632,m,hunting,rater_1,male,28
5637,m,hunting,rater_1,male,28
5638,m,hunting,rater_1,male,28
5500,m,intelligent,rater_1,male,1
5499,m,intelligent,rater_1,male,2
5597,m,intelligent,rater_1,male,3
5536,m,intelligent,rater_1,male,4
5615,m,intelligent,rater_1,male,5
5604,m,intelligent,rater_1,male,6
5376,m,intelligent,rater_1,male,7
5613,m,intelligent,rater_1,male,8
5370,m,intelligent,rater_1,male,9
5371,m,intelligent,rater_1,male,10
5403,m,intelligent,rater_1,male,11
5238,m,intelligent,rater_1,male,12
5618,m,intelligent,rater_1,male,13
5626,m,intelligent,rater_1,male,14
5614,m,intelligent,rater_1,male,15
5407,m,intelligent,rater_1,male,16
5569,m,intelligent,rater_1,male,17
5638,m,intelligent,rater_1,male,18
5617,m,intelligent,rater_1,male,19
5632,m,intelligent,rater_1,male,20
5605,m,intelligent,rater_1,male,21
5372,m,intelligent,rater_1,male,22
5637,m,intelligent,rater_1,male,23
5578,m,intelligent,rater_1,male,24
5616,m,intelligent,rater_1,male,25
5281,m,intelligent,rater_1,male,26
5641,m,intelligent,rater_1,male,27
5408,m,intelligent,rater_1,male,28
5250,m,intelligent,rater_1,male,29
5269,m,intelligent,rater_1,male,30
5251,m,intelligent,rater_1,male,31
5267,m,intelligent,rater_1,male,32
5405,m,intelligent,rater_1,male,33
5499,m,likable,rater_1,male,1
5500,m,likable,rater_1,male,2
5615,m,likable,rater_1,male,3
5536,m,likable,rater_1,male,4
5618,m,likable,rater_1,male,5
5376,m,likable,rater_1,male,6
5403,m,likable,rater_1,male,7
5407,m,likable,rater_1,male,8
5372,m,likable,rater_1,male,9
5578,m,likable,rater_1,male,10
5569,m,likable,rater_1,male,11
5637,m,likable,rater_1,male,12
5614,m,likable,rater_1,male,13
5281,m,likable,rater_1,male,14
5269,m,likable,rater_1,male,15
5267,m,likable,rater_1,male,16
5251,m,likable,rater_1,male,17
5250,m,likable,rater_1,male,18
5604,m,likable,rater_1,male,19
5617,m,likable,rater_1,male,20
5616,m,likable,rater_1,male,21
5605,m,likable,rater_1,male,22
5408,m,likable,rater_1,male,23
5632,m,likable,rater_1,male,24
5238,m,likable,rater_1,male,25
5371,m,likable,rater_1,male,26
5638,m,likable,rater_1,male,27
5370,m,likable,rater_1,male,28
5405,m,likable,rater_1,male,29
5613,m,likable,rater_1,male,30
5597,m,likable,rater_1,male,31
5626,m,likable,rater_1,male,32
5641,m,likable,rater_1,male,33
5499,m,parenting,rater_1,male,1
5500,m,parenting,rater_1,male,2
5371,m,parenting,rater_1,male,3
5370,m,parenting,rater_1,male,4
5626,m,parenting,rater_1,male,5
5536,m,parenting,rater_1,male,6
5615,m,parenting,rater_1,male,7
5604,m,parenting,rater_1,male,8
5403,m,parenting,rater_1,male,9
5376,m,parenting,rater_1,male,10
5372,m,parenting,rater_1,male,11
5238,m,parenting,rater_1,male,12
5614,m,parenting,rater_1,male,13
5605,m,parenting,rater_1,male,14
5405,m,parenting,rater_1,male,15
5267,m,parenting,rater_1,male,16
5408,m,parenting,rater_1,male,17
5407,m,parenting,rater_1,male,18
5638,m,parenting,rater_1,male,19
5637,m,parenting,rater_1,male,20
5569,m,parenting,rater_1,male,21
5641,m,parenting,rater_1,male,22
5578,m,parenting,rater_1,male,23
5618,m,parenting,rater_1,male,24
5269,m,parenting,rater_1,male,25
5613,m,parenting,rater_1,male,26
5500,m,respect,rater_1,male,1
5371,m,respect,rater_1,male,2
5615,m,respect,rater_1,male,3
5499,m,respect,rater_1,male,4
5626,m,respect,rater_1,male,5
5613,m,respect,rater_1,male,6
5370,m,respect,rater_1,male,7
5407,m,respect,rater_1,male,8
5403,m,respect,rater_1,male,9
5536,m,respect,rater_1,male,10
5597,m,respect,rater_1,male,11
5569,m,respect,rater_1,male,12
5376,m,respect,rater_1,male,13
5250,m,respect,rater_1,male,14
5614,m,respect,rater_1,male,15
5238,m,respect,rater_1,male,16
5618,m,respect,rater_1,male,17
5638,m,respect,rater_1,male,18
5281,m,respect,rater_1,male,19
5604,m,respect,rater_1,male,20
5267,m,respect,rater_1,male,21
5269,m,respect,rater_1,male,22
5408,m,respect,rater_1,male,23
5372,m,respect,rater_1,male,24
5251,m,respect,rater_1,male,25
5578,m,respect,rater_1,male,26
5616,m,respect,rater_1,male,27
5617,m,respect,rater_1,male,28
5637,m,respect,rater_1,male,29
5405,m,respect,rater_1,male,30
5605,m,respect,rater_1,male,31
5632,m,respect,rater_1,male,32
5641,m,respect,rater_1,male,33
5569,m,spouse,rater_1,male,1
5604,m,spouse,rater_1,male,2
5638,m,spouse,rater_1,male,3
5500,m,spouse,rater_1,male,4
5499,m,spouse,rater_1,male,5
5376,m,spouse,rater_1,male,6
5615,m,spouse,rater_1,male,7
5597,m,spouse,rater_1,male,8
5618,m,spouse,rater_1,male,9
5613,m,spouse,rater_1,male,10
5250,m,spouse,rater_1,male,11
5238,m,spouse,rater_1,male,12
5370,m,spouse,rater_1,male,13
5281,m,spouse,rater_1,male,14
5269,m,spouse,rater_1,male,15
5267,m,spouse,rater_1,male,16
5617,m,spouse,rater_1,male,17
5578,m,spouse,rater_1,male,18
5405,m,spouse,rater_1,male,19
5403,m,spouse,rater_1,male,20
5372,m,spouse,rater_1,male,21
5637,m,spouse,rater_1,male,22
5605,m,spouse,rater_1,male,23
5408,m,spouse,rater_1,male,24
5251,m,spouse,rater_1,male,25
5641,m,spouse,rater_1,male,26
5626,m,spouse,rater_1,male,27
5634,f,allies,rater_2,male,1
5596,f,allies,rater_2,male,2
5443,f,allies,rater_2,male,3
5318,f,allies,rater_2,male,4
5319,f,allies,rater_2,male,5
5320,f,allies,rater_2,male,6
5481,f,allies,rater_2,male,7
5636,f,allies,rater_2,male,8
5356,f,allies,rater_2,male,9
5357,f,allies,rater_2,male,10
5387,f,allies,rater_2,male,11
5388,f,allies,rater_2,male,12
5400,f,allies,rater_2,male,13
5589,f,allies,rater_2,male,14
5406,f,allies,rater_2,male,15
5579,f,allies,rater_2,male,16
5570,f,allies,rater_2,male,17
5485,f,allies,rater_2,male,18
5640,f,allies,rater_2,male,19
5642,f,allies,rater_2,male,20
5649,f,allies,rater_2,male,21
5639,f,allies,rater_2,male,22
5483,f,allies,rater_2,male,23
5480,f,allies,rater_2,male,24
5590,f,allies,rater_2,male,25
5484,f,allies,rater_2,male,26
5613,m,coffee,rater_2,male,1
5615,m,coffee,rater_2,male,2
5536,m,coffee,rater_2,male,3
5371,m,coffee,rater_2,male,4
5250,m,coffee,rater_2,male,5
5376,m,coffee,rater_2,male,6
5597,m,coffee,rater_2,male,7
5626,m,coffee,rater_2,male,8
5237,m,coffee,rater_2,male,9
5372,m,coffee,rater_2,male,10
5618,m,coffee,rater_2,male,11
5403,m,coffee,rater_2,male,12
5604,m,coffee,rater_2,male,13
5267,m,coffee,rater_2,male,14
5269,m,coffee,rater_2,male,15
5408,m,coffee,rater_2,male,16
5500,m,coffee,rater_2,male,17
5614,m,coffee,rater_2,male,18
5616,m,coffee,rater_2,male,19
5281,m,coffee,rater_2,male,20
5370,m,coffee,rater_2,male,21
5569,m,coffee,rater_2,male,22
5617,m,coffee,rater_2,male,23
5641,m,coffee,rater_2,male,24
5638,m,coffee,rater_2,male,25
5632,m,coffee,rater_2,male,26
5578,m,coffee,rater_2,male,27
5405,m,coffee,rater_2,male,28
5407,m,coffee,rater_2,male,29
5637,m,coffee,rater_2,male,30
5605,m,coffee,rater_2,male,30
5238,m,coffee,rater_2,male,32
5251,m,coffee,rater_2,male,32
5579,f,conflict,rater_2,male,1
5570,f,conflict,rater_2,male,2
5642,f,conflict,rater_2,male,3
5400,f,conflict,rater_2,male,4
5640,f,conflict,rater_2,male,5
5485,f,conflict,rater_2,male,6
5387,f,conflict,rater_2,male,7
5357,f,conflict,rater_2,male,8
5484,f,conflict,rater_2,male,9
5639,f,conflict,rater_2,male,10
5356,f,conflict,rater_2,male,11
5481,f,conflict,rater_2,male,12
5634,f,conflict,rater_2,male,13
5636,f,conflict,rater_2,male,14
5596,f,conflict,rater_2,male,15
5320,f,conflict,rater_2,male,16
5319,f,conflict,rater_2,male,17
5318,f,conflict,rater_2,male,18
5443,f,conflict,rater_2,male,19
5589,f,conflict,rater_2,male,20
5406,f,conflict,rater_2,male,21
5590,f,conflict,rater_2,male,22
5480,f,conflict,rater_2,male,23
5483,f,conflict,rater_2,male,24
5649,f,conflict,rater_2,male,25
5388,f,conflict,rater_2,male,26
5579,f,control,rater_2,male,1
5400,f,control,rater_2,male,2
5388,f,control,rater_2,male,3
5570,f,control,rater_2,male,4
5640,f,control,rater_2,male,5
5485,f,control,rater_2,male,6
5387,f,control,rater_2,male,7
5357,f,control,rater_2,male,8
5484,f,control,rater_2,male,9
5639,f,control,rater_2,male,10
5636,f,control,rater_2,male,11
5483,f,control,rater_2,male,12
5356,f,control,rater_2,male,13
5634,f,control,rater_2,male,14
5481,f,control,rater_2,male,15
5320,f,control,rater_2,male,16
5319,f,control,rater_2,male,17
5480,f,control,rater_2,male,18
5596,f,control,rater_2,male,19
5318,f,control,rater_2,male,20
5443,f,control,rater_2,male,21
5590,f,control,rater_2,male,22
5589,f,control,rater_2,male,23
5406,f,control,rater_2,male,24
5649,f,control,rater_2,male,25
5642,f,control,rater_2,male,26
5634,f,decisions,rater_2,male,1
5443,f,decisions,rater_2,male,2
5596,f,decisions,rater_2,male,3
5318,f,decisions,rater_2,male,4
5319,f,decisions,rater_2,male,5
5636,f,decisions,rater_2,male,6
5481,f,decisions,rater_2,male,7
5320,f,decisions,rater_2,male,8
5388,f,decisions,rater_2,male,9
5589,f,decisions,rater_2,male,10
5649,f,decisions,rater_2,male,11
5579,f,decisions,rater_2,male,12
5400,f,decisions,rater_2,male,13
5406,f,decisions,rater_2,male,14
5570,f,decisions,rater_2,male,15
5387,f,decisions,rater_2,male,16
5485,f,decisions,rater_2,male,17
5642,f,decisions,rater_2,male,18
5357,f,decisions,rater_2,male,19
5484,f,decisions,rater_2,male,20
5640,f,decisions,rater_2,male,21
5639,f,decisions,rater_2,male,22
5483,f,decisions,rater_2,male,23
5356,f,decisions,rater_2,male,24
5590,f,decisions,rater_2,male,25
5480,f,decisions,rater_2,male,26
5634,f,expertise,rater_2,male,1
5636,f,expertise,rater_2,male,2
5443,f,expertise,rater_2,male,3
5319,f,expertise,rater_2,male,4
5596,f,expertise,rater_2,male,5
5318,f,expertise,rater_2,male,6
5388,f,expertise,rater_2,male,7
5589,f,expertise,rater_2,male,8
5481,f,expertise,rater_2,male,9
5320,f,expertise,rater_2,male,10
5649,f,expertise,rater_2,male,11
5483,f,expertise,rater_2,male,12
5400,f,expertise,rater_2,male,13
5406,f,expertise,rater_2,male,14
5485,f,expertise,rater_2,male,15
5579,f,expertise,rater_2,male,16
5484,f,expertise,rater_2,male,17
5357,f,expertise,rater_2,male,18
5356,f,expertise,rater_2,male,19
5590,f,expertise,rater_2,male,20
5570,f,expertise,rater_2,male,21
5639,f,expertise,rater_2,male,22
5387,f,expertise,rater_2,male,23
5480,f,expertise,rater_2,male,24
5640,f,expertise,rater_2,male,24
5642,f,expertise,rater_2,male,24
5634,f,farming,rater_2,male,1
5319,f,farming,rater_2,male,2
5596,f,farming,rater_2,male,3
5481,f,farming,rater_2,male,4
5636,f,farming,rater_2,male,5
5318,f,farming,rater_2,male,6
5320,f,farming,rater_2,male,7
5388,f,farming,rater_2,male,8
5484,f,farming,rater_2,male,9
5357,f,farming,rater_2,male,10
5400,f,farming,rater_2,male,11
5579,f,farming,rater_2,male,12
5570,f,farming,rater_2,male,13
5589,f,farming,rater_2,male,14
5406,f,farming,rater_2,male,15
5640,f,farming,rater_2,male,16
5642,f,farming,rater_2,male,17
5649,f,farming,rater_2,male,18
5485,f,farming,rater_2,male,19
5387,f,farming,rater_2,male,20
5639,f,farming,rater_2,male,21
5483,f,farming,rater_2,male,22
5356,f,farming,rater_2,male,23
5480,f,farming,rater_2,male,24
5443,f,farming,rater_2,male,25
5590,f,farming,rater_2,male,26
5357,f,feared,rater_2,male,1
5387,f,feared,rater_2,male,2
5485,f,feared,rater_2,male,3
5570,f,feared,rater_2,male,4
5400,f,feared,rater_2,male,5
5579,f,feared,rater_2,male,6
5356,f,feared,rater_2,male,7
5649,f,feared,rater_2,male,8
5483,f,feared,rater_2,male,9
5481,f,feared,rater_2,male,10
5480,f,feared,rater_2,male,11
5320,f,feared,rater_2,male,12
5388,f,feared,rater_2,male,13
5589,f,feared,rater_2,male,14
5596,f,feared,rater_2,male,15
5590,f,feared,rater_2,male,16
5634,f,feared,rater_2,male,17
5636,f,feared,rater_2,male,18
5443,f,feared,rater_2,male,19
5318,f,feared,rater_2,male,20
5319,f,feared,rater_2,male,21
5639,f,feared,rater_2,male,22
5484,f,feared,rater_2,male,23
5642,f,feared,rater_2,male,24
5640,f,feared,rater_2,male,25
5406,f,feared,rater_2,male,26
5357,f,fighting,rater_2,male,1
5485,f,fighting,rater_2,male,2
5579,f,fighting,rater_2,male,3
5400,f,fighting,rater_2,male,4
5387,f,fighting,rater_2,male,5
5590,f,fighting,rater_2,male,6
5484,f,fighting,rater_2,male,7
5483,f,fighting,rater_2,male,8
5640,f,fighting,rater_2,male,9
5649,f,fighting,rater_2,male,10
5406,f,fighting,rater_2,male,11
5356,f,fighting,rater_2,male,12
5480,f,fighting,rater_2,male,13
5570,f,fighting,rater_2,male,14
5318,f,fighting,rater_2,male,15
5319,f,fighting,rater_2,male,15
5320,f,fighting,rater_2,male,15
5388,f,fighting,rater_2,male,15
5443,f,fighting,rater_2,male,15
5481,f,fighting,rater_2,male,15
5589,f,fighting,rater_2,male,15
5596,f,fighting,rater_2,male,15
5634,f,fighting,rater_2,male,15
5636,f,fighting,rater_2,male,15
5639,f,fighting,rater_2,male,15
5642,f,fighting,rater_2,male,15
5318,f,intelligent,rater_2,male,1
5319,f,intelligent,rater_2,male,2
5596,f,intelligent,rater_2,male,3
5443,f,intelligent,rater_2,male,4
5320,f,intelligent,rater_2,male,5
5481,f,intelligent,rater_2,male,6
5634,f,intelligent,rater_2,male,7
5636,f,intelligent,rater_2,male,8
5589,f,intelligent,rater_2,male,9
5388,f,intelligent,rater_2,male,10
5387,f,intelligent,rater_2,male,11
5484,f,intelligent,rater_2,male,12
5640,f,intelligent,rater_2,male,13
5400,f,intelligent,rater_2,male,14
5579,f,intelligent,rater_2,male,15
5649,f,intelligent,rater_2,male,16
5406,f,intelligent,rater_2,male,17
5483,f,intelligent,rater_2,male,18
5357,f,intelligent,rater_2,male,19
5356,f,intelligent,rater_2,male,20
5642,f,intelligent,rater_2,male,21
5639,f,intelligent,rater_2,male,22
5480,f,intelligent,rater_2,male,23
5590,f,intelligent,rater_2,male,24
5570,f,intelligent,rater_2,male,25
5485,f,intelligent,rater_2,male,26
5443,f,kin,rater_2,male,1
5596,f,kin,rater_2,male,2
5318,f,kin,rater_2,male,3
5319,f,kin,rater_2,male,4
5634,f,kin,rater_2,male,5
5320,f,kin,rater_2,male,6
5481,f,kin,rater_2,male,7
5636,f,kin,rater_2,male,8
5484,f,kin,rater_2,male,9
5387,f,kin,rater_2,male,10
5485,f,kin,rater_2,male,11
5639,f,kin,rater_2,male,12
5640,f,kin,rater_2,male,13
5388,f,kin,rater_2,male,14
5400,f,kin,rater_2,male,15
5406,f,kin,rater_2,male,16
5589,f,kin,rater_2,male,17
5579,f,kin,rater_2,male,18
5649,f,kin,rater_2,male,19
5642,f,kin,rater_2,male,20
5590,f,kin,rater_2,male,21
5480,f,kin,rater_2,male,22
5356,f,kin,rater_2,male,23
5483,f,kin,rater_2,male,24
5570,f,kin,rater_2,male,25
5357,f,kin,rater_2,male,26
5618,m,kin,rater_2,male,1
5376,m,kin,rater_2,male,2
5237,m,kin,rater_2,male,3
5250,m,kin,rater_2,male,4
5372,m,kin,rater_2,male,5
5597,m,kin,rater_2,male,6
5238,m,kin,rater_2,male,7
5403,m,kin,rater_2,male,8
5613,m,kin,rater_2,male,9
5626,m,kin,rater_2,male,10
5632,m,kin,rater_2,male,11
5269,m,kin,rater_2,male,12
5251,m,kin,rater_2,male,13
5267,m,kin,rater_2,male,14
5281,m,kin,rater_2,male,15
5500,m,kin,rater_2,male,16
5536,m,kin,rater_2,male,17
5370,m,kin,rater_2,male,18
5371,m,kin,rater_2,male,19
5569,m,kin,rater_2,male,20
5617,m,kin,rater_2,male,21
